M1ANot assigned; M2ANot assigned; M3ANorth York(Parkwoods)
M1BScarborough(Malvern / Rouge); M2BNot assigned; M3BNorth York(Don Mills)North
M1CScarborough(Rouge Hill / Port Union / Highland Creek); M2CNot assigned; M3CNorth York(Don Mills)South(Flemingdon Park)
M1EScarborough(Guildwood / Morningside / West Hill); M2ENot assigned; M3ENot assigned
M1GScarborough(Woburn); M2GNot assigned; M3GNot assigned
M1HScarborough(Cedarbrae); M2HNorth York(Hillcrest Village); M3HNorth York(Bathurst Manor / Wilson Heights / Downsview North)
M1JScarborough(Scarborough Village); M2JNorth York(Fairview / Henry Farm / Oriole); M3JNorth York(Northwood Park / York University)
M1KScarborough(Kennedy Park / Ionview / East Birchmount Park); M2KNorth York(Bayview Village); M3KNorth York(Downsview)East  (CFB Toronto)
M1LScarborough(Golden Mile / Clairlea / Oakridge); M2LNorth York(York Mills / Silver Hills); M3LNorth York(Downsview)West
M1MScarborough(Cliffside / Cliffcrest / Scarborough Village West); M2MNorth York(Willowdale / Newtonbrook); M3MNorth York(Downsview)Central
M1NScarborough(Birch Cliff / Cliffside West); M2NNorth York(Willowdale)South; M3NNorth York(Downsview)Northwest
M1PScarborough(Dorset Park / Wexford Heights / Scarborough Town Centre); M2PNorth York(York Mills West); M3PNot assigned
M1RScarborough(Wexford / Maryvale); M2RNorth York(Willowdale)West; M3RNot assigned
M1SScarborough(Agincourt); M2SNot assigned; M3SNot assigned
M1TScarborough(Clarks Corners / Tam O'Shanter / Sullivan); M2TNot assigned; M3TNot assigned
M1VScarborough(Milliken / Agincourt North / Steeles East / L'Amoreaux East); M2VNot assigned; M3VNot assigned
M1WScarborough(Steeles West / L'Amoreaux West); M2WNot assigned; M3WNot assigned
M1XScarborough(Upper Rouge); M2XNot assigned; M3XNot assigned
M1YNot assigned; M2YNot assigned; M3YNot assigned
M1ZNot assigned; M2ZNot assigned; M3ZNot assigned
